ids,names,mean,description
26023,Haiyore! Nyaruko-san F,7.49,"A new OVA of the light novel Haiyore! Nyaruko-san, titled Haiyore! Nyaruko-san F, has been green-lit.

(Source: MAL News)"
26031,Super Erotic Anime,,"Episode 1: Madonna Kimochi ii Koto Shite Kudasai (マドンナ 気持ちいい事して下さい。)
Episode 2: Ane & Imouto Kimochi ii Koto Shite Kudasai (姉＆妹 気持ちいい事して下さい。)"
26033,Obake Entotsu no Uta,,"One day in 1945, children in Tokyo mistake the distant factory smoke of Shitamachi for ghosts in the sky, though their happy playtime is soon destroyed by the arrival of American bombers.

(Source: The Anime Encyclopedia)"
26035,Sweet Spot,5.6,"These ""amusing"" adventures of a golf-crazy Office Lady were based on a manga from Weekly Spa! magazine by Yutsuko Chudoji.

(Source: The Anime Encyclopedia)"
26043,Kurumiwari Ningyou (2014),,A 2014 adaptation of the original Nutcracker story by E.T.A. Hoffmann.
26053,Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,6.21,"A seed of hope descends from the sky, landing atop Flappy's head and sprouting between his ears. Goyaan is sent after the seed of hope and uses a seed of despair to transform an Uzaina, causing big trouble for the Precure!"
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.43,"Joutarou Kuujou and his allies have finally made it to Egypt, where the immortal Dio awaits. Upon their arrival, the group gains a new comrade: Iggy, a mutt who wields the Stand ""The Fool."" It's not all good news however, as standing in their path is a new group of Stand users who serve Dio, each with a Stand representative of an ancient Egyptian god. As their final battle approaches, it is a race against time to break Joutarou's mother free from her curse and end Dio's reign of terror over the Joestar family once and for all.

[Written by MAL Rewrite]"
26057,Fate/kaleid liner Prisma☆Illya 2wei!: Mahou Shoujo in Onsen Ryokou,7.04,"Based on the manga by the same name by Hiroyama Hiroshi, itself a spin-off of the Fate/stay night erotic visual novel by Type-Moon.

Note: Bundled with the limited edition of the sixth Fate/Kaleid Liner Prisma Illya 3rei!! magical girl manga volume.

(Source: AniDB)"
26059,Samurai Hormone The Animation,6.22,"Based on the adult game by Clam Chowder.

Shizume, a kunoichi of the Fuuma clan, fails in her first attempt to retrieve an important scroll from Horimon Juurou and gets disciplined by her father and brother. Will her next attempt succeed or will Horimon prove to be too much for her? Meanwhile, Horimon is also being pursued by Kojuurouta, wanting revenge for him apparently killing her father and stealing the scroll. Will she be resistent to his charms?

(Source: BakaBT)"
26063,Kaibutsu Oujo Specials,6.57,Specials of 4 minutes which recounts the adventures of Kerberotte-chan including characters of Princess Resurrection.
26079,Donyatsu Specials,5.7,DVD specials of the Donyatsu series.
26081,Yasuji no Pornorama: Yacchimae!!,,"Based on the manga by Tanioka Yasuji.

Japanese society, in the opinion of Pusu-o, ""satisfies all the urges of hunger, but not the urges of the loins."" Then again, Pusu-o is scrawny, awkward and hardly the handsomest guy in town. More to the point, in matters of a romantic nature, Pusu-o conducts himself with an absolute lack of grace, restraint and general respect for women. Not surprisingly, his sex life is an endless succession of obnoxiously over-the-top come-ons and maniacal attempts to get some action, all of which culminate in total strike-outs. Pusu-o's own father is soon on hand to add insult to injury (the injury being the constant, gushing nosebleeds Pusu-o endures — the nasal blood geyser being Japanese cartoon shorthand for sexual frustration), and the cock blockage continues at Pusu-o's new job as a car salesman — until a trio of older women misinterpret his advances, intended only to make the pretty Yukiko jealous. The antics continue at a later date, when the married Pusu-o is cuckolded by an horny little birdie. When the humiliated surrogate dad witnesses the sexual prowess of the tryst's offspring, matters culminate in a finale worthy of the most bombastic Japanese tragedy. 

(Source: AniDB)"
26085,Military!,5.81,"The story takes place during a conflict between the Krakozhia Dukedom and the Grania Republic. In the midst of the fighting, a savior appears to the Krakozhia Dukedom, and it is a high school student named Yano Souhei. Two female soldiers, First Lieutenant Ruto and Second Lieutenant Haruka, appear in tanks to intrude on Souhei's everyday life, followed by the enemy soldier Shachirofu, all of whom use firearms without hesitation at his house.

(Source: ANN)"
26087,Mama Ohanashi Kikasete,,"Short animated films of well-known Japanese folk tales, including the stories of Taro Maegami, The Riceball Family, The Master of Catching Stars, Thunder is the Bridegroom, and The Elephant's Sneeze. Shown as part of the children's variety
program, Tondeke Gutchonpa.

(Source: The Anime Encyclopedia)"
26089,Gutchonpa Omoshiro Hanashi,,A short anime that aired during the children's variety program Tondeke Gutchonpa. This one focused on telling funny stories.
26091,Koe wo Kikasete,,An educational film about mobile phone addictions in Japan. 
26093,"Tanbai Haru, Tookaraji",,An educational film about exclusion and isolation of people in Japan. Specifically aimed at adult isolation.
26095,Kono Sora no Shita de,,An educational film about social town development in Japan.
26097,Yume no Tsuzuki,,An educational film about the alienation of the elderly in Japan.
26099,Hidamari no Ie,,An educational film about fatherless families and the elderly living alone in Japan
26101,Boku to Gaku: Ano Natsu no Monogatari,,"An educational film about losing hope in children in Japan. In the movie's example, how it is bad it is to say another child ""doesn't stand a chance"" or ""don't think too much of them, they won't amount to anything"" because of their upbringing or background or single action they did. "
26103,Namae... Sore wa Moeru Inochi,,An educational film about accepting another's ethnicity and cultural background in Japan.
26105,"Gomen ne, Mii-chan",,An educational film about children's animal cruelty in Japan.
26107,Miitsuketa!,,"An educational film about children's inability to value life in Japan. In the movie's example, members of a class neglect their rabbit duties and it dies. "
26109,Kokoro no Koukyougaku,,An educational film about child abuse in Japan. 
26111,Hibike! Wadaiko,6.63,"An educational film about the Convention on the Rights of the Child in Japan. In the movie's example, a group of children are practicing taiko (drums) for a recital at the community center. Local adult residents force them to stop, saying that it's selfish for kids to disturb their peace. Their teacher tells them about the Convention on the Rights of the Child so they have the courage to stand up to the the adults to dispel the ideology of ""kids don't know anything. They need to shut up and do what we tell them.""  "
26113,Yooidon!,,"An educational film about teamwork in Japan. In the movie's example, a group of kids training for a 3-legged style race but with their entire class. Personalities and physical fitness clash."
26115,Moudouken Quill no Isshou,,"A biographical anime about Quill, a real life guide dog."
26117,Kokoroya,,"An educational film about empathy in Japan. In the movie's example, uses a sci-fi twist to show how the hearts of others to the main character in certain situations."
26119,Iwata Kunchi no Obaachan,,An educational film based on a true story of an elementary school boy bringing his wheel-chair bound grandmother to school in order for her to tell the story of her living through WW2 and the atomic bomb.
26123,Seitokai Yakuindomo* OVA,7.89,OVAs of Seitokai Yakuindomo* which were either bundled with the limited editions of the manga volumes or as standalone OVAs.
26133,Paper Cranes Story: Kenta to Maiko,,"Based on the picture eBook of the same name.

One by one, with feeling, the Thousand Paper Cranes are folded.
What if, those paper cranes had a ""life"" of their own...
The purpose given to the Thousand Paper Cranes!
The spectacular adventure of Kenta and Maiko begins now!!

(Source: dreamonefilm)"
26135,Afghanistan Paghman-mura no Monogatari: Sekaiichi Utsukushii Boku no Mura,,"An educational film about Paghman, Afghanistan showing the simple life and beauty of the region and its regular citizens to juxtapose the War in Afghanistan that stared in real life the year prior."
26137,Afghanistan Paghman-mura no Monogatari: Boku no Mura ni Circus ga Kita,,"Following the previous story, a circus comes to town displaced by the War in Afghanistan. This one has a stronger focus on the actual war affecting the citizens."
26139,Kie Saranu Kizuato: Hi no Umi Osaka,,An educational film about the bombing of Osaka in 1945.
26141,Hato yo: Hiroshima no Sora wo,,"Based on a book of the same name. 

An anime about the atomic bombing of Hiroshima. The focus is a middle school boy who kept and bred carrier pigeons. While he was out of the city training them, the bomb dropped. Both he and the pigeon desperately tried to find their mother and child respectively in the chaos. "
26143,Okori Jizou,,"Based on a book of the same name. 

A stop-motion anime about the atomic bombing of Hiroshima. A 6 year old girl named Hiro-chan gets burned by the bomb while playing with a local laughing Jizo statue. While crying out her mothers name she also begged for water. Suddenly the Jizo statue's face became that of an angry expression and tears started flowing from its eyes which Hiro-chan was able to drink. "
26145,Okaachan Gomen ne,,A stop-motion anime about the bombing of Osaka based on Hamano Kinuko's experience when she was 6 years old. In which her very weak mother was able to save her and her friends by self-sacrifice.
26147,Nagasaki no Kouma,,A stop-motion anime about the atomic bombing of Nagasaki. The story follows a young boy an 1 surviving foal as they try to survive the wreckage and make their way to the mountains for safety.
26149,Tobiuo no Boy wa Byouki Desu,,"An anime about Operation Castle and the demise of the crew on the Daigo Fukuryuu Maru (S.S. Lucky Dragon 5). On March 1st 1954, a hydrogen bomb went off (that ended up being similar sized to the atomic bomb dropped on Hiroshima). The radioactive ash fell on the crew, poisoning them.
The anime deviates into fantasy as the ash also affected the marine life--that talk and wear human clothing and is the main focus of the movie; how the radioactive ash affected the talking fish."
26151,Shounen H ga Mita Sensou,,An educational anime about the Pacific War. Based on the autobiographical best selling work by Kappa Senoo.
