ids,names,mean,description
23915,The Adventures of Hello Kitty & Friends,5.95,Random adventures of Hello Kitty and other Sanrio's characters.
23917,Sora wa Koko ni Aru,5.48,"An animated music video for the song ""Sora wa Koko ni Aru"" by Ai Kawashima.

The video was released on a limited edition DVD sold with her 22nd single."
23931,Uchuu Senkan Yamato 2199: Tsuioku no Koukai,6.75,Recap of Uchuu Senkan Yamato 2199.
23933,Kyutai Panic Adventure!,4.77,"A special screened at special events named Odaiba Boken-Oh featuring characters from Astro Boy, Dragon Ball Z and One Piece."
23935,Kyutai Panic Adventure Returns!,5.02,"A special screened at an event named Odaiba Boken-Oh, featuring characters from Dragon Ball Z, One Piece and Kochira Katsushikaku Kameari Kouenmae Hashutsujo."
23943,Mobile Suit Gundam Unicorn: One of Seventy Two,6.37,"U.C. 0095.12.03 The Neo Zeon remnants known as the Sleeves conduct a performance test on a certain new type of mobile suit in a debris sector. Having gotten wind of this intel, two warships head for the debris sector. One ship is a Earth Federation Forces warship. The other ship is an Anaheim Electronics testing ship. On board the Federation Forces battleship, a newly constructed Unicorn Gundam Unit 3 awaited its time to sortie…

(Source: Zeonic Scanlations)"
23945,Majimoji Rurumo,6.85,"After an unfortunate accident, completely normal heterosexual high school student Kouta Shibaki is branded as the school pervert. With girls avoiding Kouta like the plague, truly the young man's worst nightmare has come to fruition! One day in the school library, he stumbles upon a peculiar book said to possess the power to summon witches. Partly out of desperation, partly out of boredom, Kouta decides to play along with the joke of a book, until an apprentice witch going by the name of Rurumo Maji Mojiruka appears before him. In an unusual turn of events, Kouta ends up helping Rurumo with some general witchery tasks in exchange for his soul being spared.

Majimoji Rurumo follows the misadventures of Rurumo as she attempts to persuade Kouta to use 666 magical wish-granting tickets in her efforts to become a fully-fledged witch, unaware that every time she grants a wish, Kouta's life is shortened. Aided by Rurumo's familiar Chiro, Kouta must decide between helping Rurumo or saving his own life.

[Written by MAL Rewrite]"
23967,Fox Wood Monogatari,,"Harvey, Rue, and Willie are a hedgehog, rabbit, and mouse who live in a windmill in the peaceful town of Fox Wood, where they have several adventures in this short-lived series based on the children's picture books by the British creators Cynthia and Brian Paterson. 

(Source: Anime Encyclopedia)"
23969,Fuku-chan no Kishuu,,"The first film of the Fuku-chan trilogy. Based on a popular newspaper comic strip at the time, Fuku-chan was re-invented for propaganda use."
23971,Fuku-chan no Zousan Butai,,"The second film of the Fuku-chan triology. Based on a popular newspaper comic strip at the time, Fuku-chan was re-invented for propaganda use. In this one Fuku-chan tries to rally up the fighting spirit of the troops."
23973,Fuku-chan,,"Childish goings-on for Fukuo Fuchida (also known as Fuku-chan) a small boy who attends nursery school with his ""girlfriend"" Kumi and hangs out with his playmates Namiko (whose parents own a china shop), her younger brother, Kiyo, naughty twins Doshako and Garako and school bully Ganchan.

(Source: Anime Encyclopedia)"
23975,Fukuyama Gekijou: Natsu no Himitsu,6.12,"Several short animated mini-stories based on the short stories and four-panel manga of Keiko Fukuyama, including My Father the Mouse, The Rabbit Brothers, Summer Secret, The Mysterious Fairy, How Very Strange, and Kuro. 

(Source: Anime Encyclopedia)"
23979,Something Great Chizu ni Nai Machi,,Based on the original story by Mukainakano Yoshio.
23983,Fuichin-san,,Based on Ueda Toshiko's shoujo manga.
23985,Futari Ecchi (2014),6.18,Three new OVAs of Futari Ecchi released as standard DVDs and as part of a Premium DVD Box containing all seven OVAs of the series.
23987,Sarusuberi: Miss Hokusai,7.19,"The time: 1814. The place: Edo, now known as Tokyo.

One of the highest populated cities in the world, teeming with peasants, samurai, townsmen, merchants, nobles, artists, courtesans, and perhaps even supernatural things.

A much accomplished artist of his time and now in his mid-fifties, Tetsuzo can boast clients from all over Japan, and tirelessly works in the garbage-loaded chaos of his house-atelier. He spends his days creating astounding pieces of art, from a giant-size Bodhidharma portrayed on a 180 square meter-wide sheet of paper, to a pair of sparrows painted on a tiny rice grain. Short-tempered, utterly sarcastic, with no passion for sake or money, he would charge a fortune for any job he is not really interested in.

Third of Tetsuzo's four daughters and born out of his second marriage, outspoken 23-year-old O-Ei has inherited her father's talent and stubbornness, and very often she would paint instead of him, though uncredited. Her art is so powerful that sometimes leads to trouble. ""We're father and daughter; with two brushes and four chopsticks, I guess we can always manage, in a way or another.""

Decades later, Europe was going to discover the immense talent of Tetsuzo. He was to become best known by one of his many names: Katsushika Hokusai. He would mesmerize Renoir and van Gogh, Monet and Klimt.

However, very few today are even aware of the woman who assisted him all his life, and greatly contributed to his art while remaining uncredited. This is the untold story of O-Ei, Master Hokusai's daughter: a lively portrayal of a free-spirited woman overshadowed by her larger-than-life father, unfolding through the changing seasons.

(Source: Production I.G)"
23989,Maken-Ki! Two Specials,6.21,Blu-ray/DVD specials of Maken-Ki! Two.
23991,Cardfight!! Vanguard Movie: Neon Messiah,6.77,"A hybrid anime/live-action movie for the series to be released Fall 2014.

After the events of Link Joker-hen, Aichi and Kai team up to a confront an enemy that threatens the peace they've just regained. The movie also covers the events leading up to Aichi's disappearance in Legion Mate-hen."
24011,Lance N' Masques,5.51,"Eight words describe the feelings of Youtarou Hanabusa: ""I just want to live a normal life."" Unfortunately for him, as a member of the Knights of the World, his training in this ancient and international order has left him with a condition he calls ""White Knight Syndrome."" This condition causes Youtarou to instinctively act heroically and chivalrously whenever he encounters someone in danger.

To protect his identity in such embarrassing moments, he carries a mask with him at all times. Then one day, he saves the life of Makio Kidouin, the young daughter of an elite and affluent family. Little does he know that this singular act of heroism will change his life forever. Soon, he is simultaneously blessed with a life in the lap of luxury and cursed with one of abnormality, for his new friend Makio lives a life far removed from the everyday.

Between coping with the hijinks of six-year-old Makio, and dealing with a cast of odd friends and scheming enemies, Youtarou must protect his new friend while keeping his identity hidden as the masked hero Knight Lancer.

[Written by MAL Rewrite]"
24019,Manabu no Natsuyasumi,,"Released by JCI (Junior Chamber International) Japan to promote self awareness and appreciation of ""Japan's soul"".

Manubu's mother leaves him with his uncle, grandmother and niece Kiyomi to spend his summer vacation.
Him being a real city brat he has no real appreciation for nature and the outdoors and the values of life. He will soon learn differently...

(Source: AniDB)"
