ids,names,mean,description
2035,Eikoku Koi Monogatari Emma: Molders-hen,7.85,"In the faraway village of Haworth, a new chapter in Emma's life has begun. Now employed by the wealthy Molders family, Emma has resolved to put the past behind her. She'll have to adjust to a new house, a charming (but eccentric) new mistress, and a host of fellow servants, some with buried pasts of their own.

Meanwhile, back in London, William is doing his best to uphold his father's wishes as the Jones family heir, but try as he might, he can't forget Emma. Yet, whenever he feels at his worst, Eleanor is always there to comfort him with a warm, shy smile. Could the answer to his broken heart be right before his eyes?

(Source: RightStuf)"
2036,Cosmic Baton Girl Comet-san☆,7.15,"Comet (12 years old in human years) is the princess of the Harmonica Star country and was to meet the prince of the Tambourine Star country at a ball where he'd pick a bride. But he isn't there and so Comet is sent to Earth to find him. He'll be known by the starlight in his eyes. She finds the Earth and she loves the people she meets there. Meanwhile, Princess Meteor of the Castanet Star country also arrives on Earth in search of the prince. Comet's companion is a little puppy with a star at the end of his tail named Rubba Ball. Of course, Comet was not the first to visit the Earth and love it, another before her did as well and married. Her pet (a white cat with bunny ears and a tiny heart on her tail named Bunny) continued life as a kind of fairy in the forest. Comet's power is drawn from the stars of her home and is channeled through her baton; she also wears a special pendant from where Rubba Ball immerges, and with which she can detect and find the prince.

(Source: ANN)"
2037,Hime-chan no Ribbon,7.44,"Erika, the princess of the Magic Kingdom has come to Earth in order to find a human girl who looks just like her. That girl turns out to be Himeko Nonohara, a tomboy's tomboy. Erika must give Himeko a magical item she has created in order to prove her worth as a successor to the crown. Himeko must test this item, a hair ribbon that allows her to transform into any other person she sees, to see if it is worthy. The series follows Himeko's adventures and her budding romance with Daichi, the boy who discovers her secret.

(Source: ANN)"
2038,Mahou no Star Magical Emi,6.68,"Kozuki Mai is an elementary student who wants to be a magician and perform in her family's ""Magicarat"" magical act; however, she is too young, and her magic skills are not very good. Then one day, she encounters a ball of light that was put into a stuffed doll of flying squirrel, bringing it to life and somehow giving her the power to turn in to the 18-year-old magician ""Magical Emi."" As Emi, Mai was able to join the magic act. But she must keep her identity a secret from her family and from her crush."
2039,Mahou no Yousei Persia,6.61,"11-year-old Persia has grown up alongside the animals on the Serengeti plains of Africa. Twins Riki and Gaku Muroi and their grandfather, Gouken, bring Persia to Japan with them, where she will live with a couple (who Persia calls Mama and Papa) that own a grocery store. During the flight to Japan, Persia finds herself in the ""Lovely Dream"" where she meets the Fairy Queen, who explains that the Lovely Dream is in danger and requests Persia's help. Giving Persia a magical headband (which can also summon a magical baton) that allows her to transform into a teenage girl, connecting her to the Lovely Dream and allowing her to use magic. She is sent with three kappa back into the regular world with the mission of collecting love energy to thaw the frozen Lovely Dream. If Persia fails her task of collecting love energy or if someone catches her using magic, Riki and Gaku will be transformed into women.

(Source: ANN)"
2040,Mahou no Angel Sweet Mint,6.36,"Mint is a girl who happens to be the princess of the world of dreams and magic. The natural environment of her world is a reflection of the dreams of the people on Earth. It is now in danger as people lose faith in their dreams and let darkness enter their hearts. The environment of Mint's world is starting to wither and die.

On her 12th birthday, after a gala celebration with her father the King and her mother, she agrees to go to the world of humans to try to preserve people's hopes and dreams, and to prove that she has the qualities necessary to be a wise ruler. Her father arranges for her to stay with his sister, Mint's aunt Herb, who runs a gift shop on Earth called ""Happiness Shop"". 

(Source: AniDB)"
2041,Ai to Yuuki no Pig Girl Tonde Buurin,6.63,"""Look! In the sky...It's a bird...It's a plane...It's Super Pig?!""

One fateful day, Karin, a junior-high student, found what she thought was an injured piglet. However, the piglet was just exhausted from hunger. After the piglet regained his health by eating Karin's apple, he revealed that he is a prince, Tonrariano III, from a planet called Booringo. Tonrariano wanted to reward Karin for helping him and so he transformed her into a pig with superpowers. Karin was not at all pleased with the gift because she wanted to become a pretty superheroine like ""Cutey Chao"" (a parody of Cutey Honey), not Super Pig. Reluctantly, she became more interested in her role as Super Pig when she found out that she can turn into someone like ""Cutey Chao"" if she can collect 108 pearls through doing good deeds for other people."
2042,Five Star Stories,6.6,"Amaterasu is the god of light, the future emperor of the Joker Star System. Under the guise of young mecha conceptor Ladios Sopp, he is compelled by an old friend, Dr Ballanche, to save his two latest Fatimas Lachesis and Clotho. And so began the stories of the Joker System, as well as Amaterasu's love for Lachesis. 

(Source: ANN)"
2043,Cat's Eye,7.19,"The three Kisugi sisters—Rui, Hitomi and Ai—during the day run a small cafe called ""Cat's Eye."" To discover the whereabouts of their father, the artist Michael Heintz, who has disappeared, Hitomi and her sisters rob art galleries as the smart and mysterious thief ""Cat's Eye"" in the hope that his works can give them clues about his vanishing. The crucial point is that Hitomi has a relationship with Toshi, a police inspector who has sworn to catch ""Cat's Eye""—and of course he has no idea about Hitomi's double life.

(Source: ANN)"
2044,Mahou no Tenshi Creamy Mami,7.14,"Creamy Mami is about a young girl, Yuu, who after seeing a spaceship is given the power to use magic for one year. She is also given 2 cats, Poji and Nega, to watch over and guide her. Using her magic powers to transform into the idol Creamy Mami, Yuu must work hard at acting, singing, helping her parents at their crepe shop, fighting aliens and bad guys, going to school, plus try to get the affections of her childhood friend Toshio.

(Source: ANN)"
2045,Mahou no Tenshi Creamy Mami: Eien no Once More,6.27,"The first 45 minutes is a recap of the original series and the remaining 40 minutes has a new story.

Two months after Creamy Mami's final concert, rumors began to spread that Mami was making a come back, and if that wasn't surprising enough, Tachibana starts a ""Project M"" and that seems to have something to do with Mami's come back. As word of Mami's concert reaches the public, Yuu dosen't belive it. Yuu, Megumi, Toshio, Midori, Kidokoro make a plan to get to the bottom of it.

(Source: ANN)"
2046,Mahou no Tenshi Creamy Mami: Long Goodbye,6.33,"Shingo is planning the film ""A Story of Two Worlds"" starring Megumi. Yuu's transformation into Creamy Mami is happening without her wanting it. She is asked to star in the film too. But the magic doesn't last..."
2047,Ningyo,6.37,"In a fictional place where using the imagination is banned, a boy saves a fish, which surprises everyone by turning into a mermaid. The boy is arrested for imagining this ""nonsense"", and is robbed of his imagination as punishment. 

(Source: ANN)"
2048,Kikou Ryohei Mellowlink,7.13,"As the sole survivor from a squad that was sacrificed and hung out as scapegoats for embezzlement of military resources at the end of the 100 years war, Mellowlink Arity is out for revenge.

Carrying the dogtags of his deceased comrades and armed with a dated anti AT rifle, he swears to hunt down and exact revenge on the corrupt officers that betrayed his squad, and maybe even uncover the truth behind the plot as well."
2049,Kouryuu Densetsu Villgust,6.03,"Villgust is a peaceful world that exists parallel to ours. However, now an evil deity has been revived and has sent evil creatures to destroy many countries, which left darkness and terror to rule the world. The peoples' prayers and cries has reached out to the goddess Windina and in order to free the world from darkness she chose eight brave warriors to defeat the evil deity. Although blessed, these warriors are unaware at the path chosen for them, thus the two groups of Kui, Chris, Fanna, and Youta must meet up with Murobo, Remi, Ryuquir, and Bostov before they can follow the path chosen for them and defeat the evil deity. 

(Source: ANN)"
2050,Honoo no Tenkousei,6.67,"Transfer student Takisawa Noboru quickly learns that all disputes at his new school are settled in the boxing ring. Now he finds himself in a series of showdowns with the local top dog, Ibuki Saburo, for the love and respect of the beautiful Yukari.

(Source: ANN)"
